pm25_data,pm10_data,so2_data,o3_data,co_data,no2_data,发电量,发电量预测值,人均gdp,人均gdp预测值
46.48649011,70.85065145,8.940421233,66.62941362,0.758832953,30.33516248,388.4,1892.880875233111,136172,87322.77548081503
58.25464384,93.243,15.8008235,63.25004162,1.180105901,45.30218915,611.0,1987.0004527933706,87280,110017.80242144075
48.95256061,80.39140881,15.73210055,68.51380773,0.859994043,28.7184871,2817.1,2410.047218843364,41451,68464.24218357027
50.17564816,82.63968128,31.93460627,68.86953353,1.096800715,27.17062124,2823.94,2387.4739263028277,41242,43725.4707734648
17.71239803,23.89373575,6.13876967,63.79960433,0.28922278,5.321649553,4435.94,1651.78838451327,61196,41126.150551609
36.17758046,57.68873331,16.02517558,66.32069967,0.756529978,20.96206677,1829.27,1991.2935494032304,50221,56556.642770347054
29.77533469,41.98057852,10.64049844,63.93663055,0.602890002,13.36748635,800.33,1619.486027898988,42890,49500.981154739624
20.33704208,28.28942277,5.433936591,59.62818023,0.392239938,7.862656135,917.28,1665.8285337524885,35887,46696.99472691734
37.15309699,56.75641534,11.28875288,73.28273425,0.687334795,37.05678795,859.25,1363.4272058842614,133489,111052.97414398703
46.72312031,77.15972274,13.8915102,72.5794916,0.762024112,30.78592537,4914.74,2315.593064850222,102202,78575.36573532951
33.89242676,51.347848,10.01344882,62.68170943,0.61443561,24.37467511,3312.33,1716.2368173562484,85612,78731.53320532094
50.70459225,79.24675771,13.17739793,68.56265954,0.750313908,28.97441141,2456.28,2249.723774304937,49092,75046.85700626354
25.81200183,38.33604681,10.03007624,60.45422975,0.557629705,11.34942984,2200.67,1783.3352970246115,83758,45767.30802927739
37.78315319,55.24495177,13.34658885,60.45093457,0.680284461,16.05300709,1128.82,1913.6508813752962,44878,48834.191846756155
54.19272127,98.26079265,19.62359148,71.98006366,0.990489655,33.18351474,5162.74,3138.169585021467,62993,65472.85592880544
58.65462564,99.53865855,17.15257716,70.10212633,1.060677336,31.06697765,2739.63,2882.1104801729743,45723,62002.33794124962
