数据库：分省月度数据
指标：原煤产量_累计值(万吨)
"时间：2013-,last5"
地区,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月,2023年1月,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月,2022年1月,2021年12月,2021年11月,2021年10月,2021年9月,2021年8月,2021年7月,2021年6月,2021年5月,2021年4月,2021年3月,2021年2月,2021年1月,2020年12月,2020年11月,2020年10月,2020年9月,2020年8月,2020年7月,2020年6月,2020年5月,2020年4月,2020年3月,2020年2月,2020年1月,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月,2016年12月,2016年11月,2016年10月,2016年9月,2016年8月,2016年7月,2016年6月,2016年5月,2016年4月,2016年3月,2016年2月,2016年1月,2015年12月,2015年11月,2015年10月,2015年9月,2015年8月,2015年7月,2015年6月,2015年5月,2015年4月,2015年3月,2015年2月,2015年1月,2014年12月,2014年11月,2014年10月,2014年9月,2014年8月,2014年7月,2014年6月,2014年5月,2014年4月,2014年3月,2014年2月,2014年1月,2013年12月,2013年11月,2013年10月,2013年9月,2013年8月,2013年7月,2013年6月,2013年5月,2013年4月,2013年3月,2013年2月,2013年1月
浙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
安徽省,9399.4,8491.4,7577.9,6611.2,5648.4,4679.7,3724.4,2799.8,1791.1,,11176.9,10222.5,9321.7,8423.9,7496.6,6527.8,5547.9,4595.5,3641.1,2778.6,1793.7,,11274.1,10209.9,9249.9,8309.2,7410.7,6429.4,5585.0,4675.2,3751.8,2855.0,1805.0,,11084.4,10131.4,9206.1,8284.5,7328.3,6377.9,5432.9,4465.7,3507.1,2552.1,1604.0,,10989.5,10081.7,9161.7,8249.3,7360.6,6444.1,5487.1,4587.6,3651.9,2737.3,1731.2,,11529.1,10569.7,9649.5,8700.4,7724.1,6702.7,5789.4,4848.1,3892.6,2899.8,1892.0,,11724.4,10769.0,9802.8,8875.2,7925.5,6929.3,5927.7,4910.7,3899.9,2896.2,1880.1,,12235.6,11230.6,10227.0,9257.1,8256.6,7257.5,6293.3,5302.8,4285.1,3155.9,2046.0,,13404.2,12307.3,11235.2,10143.5,9048.1,7901.6,6757.8,5724.9,4591.6,3461.7,2241.9,,,,,,,,,,,,,,,,,,,,,,,,,
福建省,328.5,293.0,254.7,221.3,183.7,148.4,119.2,80.5,38.2,,443.2,411.0,368.7,328.9,284.3,245.0,209.2,174.1,131.8,87.6,42.0,,540.7,493.6,457.9,419.7,373.6,330.6,285.5,239.6,189.7,129.3,74.4,,645.8,586.5,529.3,470.5,418.0,368.6,319.0,263.2,204.4,137.5,74.2,,831.7,755.7,693.6,621.0,551.3,489.2,421.9,349.3,269.7,185.3,122.2,,917.7,839.3,770.0,696.7,622.2,551.5,470.7,386.9,292.9,203.3,121.0,,1107.0,1024.6,947.2,866.1,780.8,695.8,608.3,509.3,395.2,288.3,160.6,,1346.7,1248.7,1148.1,1039.0,929.7,818.4,708.0,590.0,466.0,336.7,201.2,,1531.8,1418.2,1298.4,1175.6,1055.3,925.1,796.3,657.3,514.3,370.2,216.7,,,,,,,,,,,,,,,,,,,,,,,,,
江西省,174.6,152.5,133.1,116.3,97.7,79.3,62.9,43.1,26.7,,194.6,176.4,164.0,152.0,130.7,111.4,89.1,75.1,55.3,44.5,23.8,,213.4,195.5,177.3,159.4,145.1,129.2,114.0,99.4,79.7,61.3,41.0,,281.2,254.6,226.8,198.5,173.3,149.2,133.4,111.9,87.4,61.4,36.3,,441.2,400.8,362.5,326.8,292.6,256.5,225.3,188.1,150.5,107.3,65.2,,530.5,560.7,502.0,444.3,366.0,313.1,265.5,222.5,180.7,133.9,87.3,,782.1,742.2,705.6,644.6,566.1,488.2,415.8,342.1,274.8,206.5,136.4,,1432.1,1356.0,1271.5,1192.0,1071.6,944.9,803.7,663.3,538.0,398.5,261.2,,2090.2,1903.0,1727.5,1556.9,1385.4,1214.8,1035.3,852.3,678.9,506.2,330.1,,,,,,,,,,,,,,,,,,,,,,,,,
山东省,7174.1,6421.7,5694.7,4980.1,4261.1,3532.5,2789.5,2064.2,1327.0,,8753.1,8047.1,7297.0,6538.7,5798.1,5045.6,4323.6,3600.5,2886.6,2181.7,1442.6,,9312.0,8516.1,7689.6,6855.5,6066.9,5240.5,4554.1,3848.9,3053.1,2312.1,1515.5,,10922.0,10111.5,9202.7,8310.1,7451.9,6499.0,5528.0,4551.9,3568.8,2625.0,1619.3,,11875.6,10910.6,9916.4,8916.8,7912.9,6911.6,5892.4,4880.4,3861.3,2848.6,1832.9,,12169.4,11191.7,10253.2,9370.2,8341.6,7336.9,6303.1,5238.5,4163.8,3087.0,1977.0,,12945.6,11856.9,10732.4,9675.9,8596.5,7525.8,6430.6,5228.5,4147.3,3089.4,1966.0,,12813.5,11756.5,10656.1,9601.9,8552.2,7531.6,6500.0,5508.5,4505.7,3337.6,2144.4,,14216.7,13087.5,11941.2,10796.7,9662.7,8514.5,7332.3,6106.1,4861.5,3622.3,2346.0,,,,,,,,,,,,,,,,,,,,,,,,,
河南省,8472.7,7604.1,6753.0,5887.1,5047.4,4216.1,3377.2,2520.5,1641.1,,9772.8,8952.4,8136.1,7375.4,6558.4,5706.4,4871.0,4056.1,3196.7,2363.9,1565.1,,9335.5,8507.0,7712.2,6939.4,6182.4,5418.4,4720.8,4150.4,3373.1,2550.7,1687.9,,10490.6,9603.1,8682.9,7784.4,6897.3,6000.4,5142.1,4286.7,3397.7,2483.3,1577.6,,10873.3,10014.4,9048.4,8104.0,7253.3,6324.0,5338.1,4397.8,3500.5,2632.3,1741.6,,11366.6,10422.3,9528.8,8616.1,7599.9,6632.2,5650.4,4649.1,3692.7,2735.6,1816.6,,11688.0,10709.0,9694.9,8716.4,7700.5,6686.9,5679.1,4668.8,3677.9,2764.7,1825.4,,11905.3,10802.2,9718.0,8696.7,7765.8,6816.2,5892.8,4979.8,4088.8,3061.8,1996.8,,13547.8,12403.6,11257.9,10114.0,8737.7,7528.1,6489.1,5434.4,4354.2,3278.7,2166.8,,,,,,,,,,,,,,,,,,,,,,,,,
湖北省,56.6,54.2,45.9,38.9,30.3,24.6,18.0,13.4,2.4,,72.8,62.7,52.0,49.0,39.9,31.8,21.9,17.0,11.7,6.7,1.3,,29.7,26.3,22.1,18.9,15.6,12.2,9.7,6.4,3.8,3.8,2.2,,40.3,36.3,31.4,26.6,22.1,18.6,13.5,7.1,3.8,2.0,0.7,,38.5,33.5,28.8,26.8,23.8,19.2,14.1,9.2,6.8,4.7,3.1,,81.9,111.8,97.3,85.8,73.4,61.3,49.0,29.7,21.4,22.1,14.6,,311.6,297.5,279.0,259.9,230.1,196.4,158.8,102.2,72.7,50.8,26.8,,547.4,489.7,427.1,372.4,327.0,287.4,241.7,192.7,140.3,119.3,71.3,,758.4,674.7,605.3,537.1,475.2,416.7,347.4,261.4,203.1,145.5,86.7,,,,,,,,,,,,,,,,,,,,,,,,,
湖南省,677.8,597.4,524.3,459.4,399.1,332.1,263.1,193.7,116.9,,799.6,720.5,648.0,580.2,510.7,442.1,383.7,316.6,253.1,182.0,106.2,,723.4,640.7,567.8,498.6,494.7,428.0,337.4,286.3,231.7,169.7,104.1,,1053.3,963.4,863.3,769.8,677.8,586.5,495.2,438.4,340.8,237.0,147.2,,1374.7,1254.4,1140.1,1031.0,904.5,784.9,669.8,558.9,449.3,335.6,223.5,,1692.9,1546.3,1397.1,1265.1,1123.4,982.2,847.6,710.5,579.5,426.8,283.4,,1860.5,1661.6,1488.6,1340.1,1184.2,1048.7,903.8,762.2,634.2,481.5,334.6,,2595.5,2367.5,2143.3,1950.9,1754.9,1559.4,1339.0,1101.7,911.1,664.9,413.6,,3464.6,3205.5,2937.3,2695.5,2457.5,2205.1,1913.1,1586.9,1262.8,953.0,612.0,,,,,,,,,,,,,,,,,,,,,,,,,
广东省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,217.2,199.2,178.0,156.2,136.1,114.0,91.0,73.7,48.3,,291.7,268.8,245.6,250.7,196.8,171.2,145.7,117.2,90.6,64.0,39.2,,279.7,250.9,228.9,202.2,177.0,151.9,125.2,99.9,73.8,56.0,33.4,,241.6,219.5,201.7,185.8,164.0,141.8,120.7,101.7,60.6,44.9,29.5,,356.6,340.1,318.2,293.3,260.0,227.4,193.8,161.1,129.2,99.2,64.5,,470.7,431.2,388.7,348.3,306.8,268.7,236.6,193.8,151.8,108.0,67.4,,415.4,381.7,349.9,320.2,289.6,259.5,222.9,155.3,97.2,73.4,50.8,,399.6,363.6,324.0,286.9,259.5,225.7,185.4,147.3,114.3,81.2,52.0,,402.4,364.4,330.2,298.8,264.8,236.2,202.3,172.4,144.4,115.6,77.3,,,,,,,,,,,,,,,,,,,,,,,,,
